Tables,XG
Atlanta United FC,Atlanta United
Chicago Fire,Chicago
Colorado Rapids,Colorado
Columbus Crew SC,Columbus
D.C. United,DC United
FC Dallas,FC Dallas
Houston Dynamo,Houston
LA Galaxy,L.A. Galaxy
Los Angeles Football Club,Los Angeles FC
Minnesota United FC,Minnesota United
Montreal Impact,Montreal
New England Revolution,New England
New York City FC,New York City FC
New York Red Bulls,New York
Orlando City SC,Orlando City
Philadelphia Union,Philadelphia
Portland Timbers,Portland
Real Salt Lake,Salt Lake
San Jose Earthquakes,San Jose
Seattle Sounders FC,Seattle
Sporting Kansas City,Kansas City
Toronto FC,Toronto
Vancouver Whitecaps FC,Vancouver
